@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
101,110,0,1489,101,0.936478,1,0.068793,1,0.931207,0.12873,0.940588,1.063164,0.005552
102,110,0,1488,102,0.935849,1,0.068836,1,0.931164,0.128806,0.94,1.06383,0.005556
103,110,0,1487,103,0.93522,1,0.068879,1,0.931121,0.128881,0.939412,1.064496,0.00556
104,110,0,1486,104,0.934591,1,0.068922,1,0.931078,0.128957,0.938824,1.065163,0.005561
105,110,0,1485,105,0.933962,1,0.068966,1,0.931034,0.129032,0.938235,1.065831,0.005583
106,110,0,1484,106,0.933333,1,0.069009,1,0.930991,0.129108,0.937647,1.066499,0.005609
107,110,0,1483,107,0.932704,1,0.069052,1,0.930948,0.129184,0.937059,1.067169,0.005633
108,110,0,1482,108,0.932075,1,0.069095,1,0.930905,0.12926,0.936471,1.067839,0.005657
109,110,0,1481,109,0.931447,1,0.069139,1,0.930861,0.129336,0.935882,1.06851,0.005704
110,110,0,1480,110,0.930818,1,0.069182,1,0.930818,0.129412,0.935294,1.069182,0.005832
111,110,0,1479,111,0.930189,1,0.069226,1,0.930774,0.129488,0.934706,1.069855,0.005844
112,110,0,1478,112,0.92956,1,0.06927,1,0.93073,0.129564,0.934118,1.070529,0.005857
113,110,0,1477,113,0.928931,1,0.069313,1,0.930687,0.129641,0.933529,1.071204,0.005891
114,110,0,1476,114,0.928302,1,0.069357,1,0.930643,0.129717,0.932941,1.071879,0.005948
115,110,0,1475,115,0.927673,1,0.069401,1,0.930599,0.129794,0.932353,1.072555,0.006012
116,110,0,1474,116,0.927044,1,0.069444,1,0.930556,0.12987,0.931765,1.073232,0.006069
117,110,0,1473,117,0.926415,1,0.069488,1,0.930512,0.129947,0.931176,1.07391,0.006097
118,110,0,1472,118,0.925786,1,0.069532,1,0.930468,0.130024,0.930588,1.074589,0.006119
119,110,0,1471,119,0.925157,1,0.069576,1,0.930424,0.130101,0.93,1.075269,0.006123
120,110,0,1470,120,0.924528,1,0.06962,1,0.93038,0.130178,0.929412,1.075949,0.006128
121,110,0,1469,121,0.923899,1,0.069664,1,0.930336,0.130255,0.928824,1.076631,0.006182
122,110,0,1468,122,0.92327,1,0.069708,1,0.930292,0.130332,0.928235,1.077313,0.006216
123,110,0,1467,123,0.922642,1,0.069753,1,0.930247,0.130409,0.927647,1.077996,0.00622
124,110,0,1466,124,0.922013,1,0.069797,1,0.930203,0.130486,0.927059,1.07868,0.006222
125,110,0,1465,125,0.921384,1,0.069841,1,0.930159,0.130564,0.926471,1.079365,0.006249
126,110,0,1464,126,0.920755,1,0.069886,1,0.930114,0.130641,0.925882,1.080051,0.006336
127,110,0,1463,127,0.920126,1,0.06993,1,0.93007,0.130719,0.925294,1.080737,0.006387
128,110,0,1462,128,0.919497,1,0.069975,1,0.930025,0.130797,0.924706,1.081425,0.006393
129,110,0,1461,129,0.918868,1,0.070019,1,0.929981,0.130874,0.924118,1.082113,0.006417
130,110,0,1460,130,0.918239,1,0.070064,1,0.929936,0.130952,0.923529,1.082803,0.006429
131,110,0,1459,131,0.91761,1,0.070108,1,0.929892,0.13103,0.922941,1.083493,0.006433
132,110,0,1458,132,0.916981,1,0.070153,1,0.929847,0.131108,0.922353,1.084184,0.006515
133,110,0,1457,133,0.916352,1,0.070198,1,0.929802,0.131187,0.921765,1.084876,0.006525
134,110,0,1456,134,0.915723,1,0.070243,1,0.929757,0.131265,0.921176,1.085568,0.006647
135,110,0,1455,135,0.915094,1,0.070288,1,0.929712,0.131343,0.920588,1.086262,0.006685
136,110,0,1454,136,0.914465,1,0.070332,1,0.929668,0.131422,0.92,1.086957,0.006716
137,110,0,1453,137,0.913836,1,0.070377,1,0.929623,0.1315,0.919412,1.087652,0.00679
138,110,0,1452,138,0.913208,1,0.070423,1,0.929577,0.131579,0.918824,1.088348,0.006833
139,110,0,1451,139,0.912579,1,0.070468,1,0.929532,0.131658,0.918235,1.089045,0.006833
140,110,0,1450,140,0.91195,1,0.070513,1,0.929487,0.131737,0.917647,1.089744,0.006945
141,110,0,1449,141,0.911321,1,0.070558,1,0.929442,0.131815,0.917059,1.090443,0.007117
142,110,0,1448,142,0.910692,1,0.070603,1,0.929397,0.131894,0.916471,1.091142,0.007242
